Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
TEROR,Tetramolopium rockii var. rockii,dune tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TESY,Tetramolopium sylvae,seacliff tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE5,Tetramolopium tenerrimum,Oahu tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA17,Tetraneuris,four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAC,Tetraneuris acaulis,stemless four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEACA2,Tetraneuris acaulis var. acaulis,stemless four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEACA,Tetraneuris acaulis var. arizonica,Arizona four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEACC,Tetraneuris acaulis var. caespitosa,caespitose four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEACE,Tetraneuris acaulis var. epunctata,stemless four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEACN,Tetraneuris acaulis var. nana,stemless four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR4,Tetraneuris argentea,perkysue,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBR,Tetraneuris brandegeei,Brandegee's four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHE4,Tetraneuris herbacea,eastern fournerved daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEIV,Tetraneuris ivesiana,Ives' fournerved daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TELI3,Tetraneuris linearifolia,fineleaf fournerved daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TELIA,Tetraneuris linearifolia var. arenicola,fineleaf fournerved daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TELIL,Tetraneuris linearifolia var. linearifolia,fineleaf fournerved daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TESC2,Tetraneuris scaposa,stemmy four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TESCA,Tetraneuris scaposa var. argyrocaulon,stemmy four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TESCL,Tetraneuris scaposa var. linearis,stemmy four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TESCS,Tetraneuris scaposa var. scaposa,stemmy four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TESCV,Tetraneuris scaposa var. villosa,villous four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TETO,Tetraneuris torreyana,Torrey's four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TETU2,Tetraneuris turneri,Turner's four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVE3,Tetraneuris verdiensis,Verde four-nerve daisy,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA14,Tetrapanax,tetrapanax,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPA3,Tetrapanax papyrifer,rice-paper plant,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA20,Tetraphis,tetraphis moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGE,Tetraphis geniculata,tetraphis moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPE70,Tetraphis pellucida,tetraphis moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA11,Tetraplasandra,tetraplasandra,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFL5,Tetraplasandra flynnii,Flynn's 'ohe,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGY,Tetraplasandra gymnocarpa,Koolau Range 'ohe,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHA2,Tetraplasandra hawaiensis,Hawai'i 'ohe,,,,,,,,,,,,,,,,,,,,,,,,,,
TEKA3,Tetraplasandra kavaiensis,ohe'ohe,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOA,Tetraplasandra oahuensis,ohe mauka,,,,,,,,,,,,,,,,,,,,,,,,,,
TEWA,Tetraplasandra waialealae,Mt. Waialeale 'ohe,,,,,,,,,,,,,,,,,,,,,,,,,,
TEWA3,Tetraplasandra waimeae,ohe kiko 'ola,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA10,Tetraplodon,nitrogen moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAN5,Tetraplodon angustatus,toothedleaf nitrogen moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMN70,Tetraplodon mnioides,entireleaf nitrogen moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPA70,Tetraplodon pallidus,pale nitrogen moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPA71,Tetraplodon paradoxus,paradox nitrogen moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEUR2,Tetraplodon urceolatus,urceolate nitrogen moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA19,Tetrapogon,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVI81,Tetrapogon villosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA21,Tetrapterys,tetrapterys,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBU2,Tetrapterys buxifolia,boxleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
TEIN5,Tetrapterys inaequalis,bejuco de sopla,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA23,Tetrastigma,tetrastigma,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVO4,Tetrastigma voinieranum,chestnut vine,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA7,Tetrazygia,clover ash,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAN2,Tetrazygia angustifolia,stinkingfish,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBI,Tetrazygia bicolor,Florida clover ash,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBI2,Tetrazygia biflora,Puerto Rico clover ash,,,,,,,,,,,,,,,,,,,,,,,,,,
TECR,Tetrazygia crotonifolia,hillside clover ash,,,,,,,,,,,,,,,,,,,,,,,,,,
TEEL,Tetrazygia elaeagnoides,krekre,,,,,,,,,,,,,,,,,,,,,,,,,,
TEUR,Tetrazygia urbanii,cenizo,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRO,Tetrodontium,tetrodontium moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBR3,Tetrodontium brownianum,Brown's tetrodontium moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOV,Tetrodontium ovatum,ovate tetrodontium moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TERE5,Tetrodontium repandum,tetrodontium moss,,,,,,,,,,,,,,,,,,,,,,,,,,
TEUCR,Teucrium,germander,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBO,Teucrium botrys,cutleaf germander,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA3,Teucrium canadense,Canada germander,Spring and Summer,Moderate,,3.3,Moderate,None,Erect,High,Low,High,4.5,8,3450,19360,20,60,4,Low,Intermediate,-43,Summer,Summer,Fall,No,No,
